window_months,transform,weighting,annualized_return,annualized_vol,sharpe,max_drawdown,cagr,turnover_median
12,raw,equal,,,,,,
12,raw,vol_scaled,,,,,,
12,zscore,equal,,,,,,
12,zscore,vol_scaled,,,,,,
12,percentile,equal,,,,,,
12,percentile,vol_scaled,,,,,,
24,raw,equal,,,,,,
24,raw,vol_scaled,,,,,,
24,zscore,equal,,,,,,
24,zscore,vol_scaled,,,,,,
24,percentile,equal,,,,,,
24,percentile,vol_scaled,,,,,,
36,raw,equal,,,,,,
36,raw,vol_scaled,,,,,,
36,zscore,equal,,,,,,
36,zscore,vol_scaled,,,,,,
36,percentile,equal,,,,,,
36,percentile,vol_scaled,,,,,,
