date,CPIAUCSL
2021-08-31,272.752
2021-09-30,273.942
2021-10-31,276.528
2021-11-30,278.824
2021-12-31,280.806
2022-01-31,282.542
2022-02-28,284.525
2022-03-31,287.467
2022-04-30,288.582
2022-05-31,291.299
2022-06-30,295.072
2022-07-31,294.94
2022-08-31,295.162
2022-09-30,296.421
2022-10-31,297.979
2022-11-30,298.708
2022-12-31,298.808
2023-01-31,300.456
2023-02-28,301.476
2023-03-31,301.643
2023-04-30,302.858
2023-05-31,303.316
2023-06-30,304.099
2023-07-31,304.615
2023-08-31,306.138
2023-09-30,307.374
2023-10-31,307.653
2023-11-30,308.087
2023-12-31,308.735
2024-01-31,309.794
2024-02-29,311.022
2024-03-31,312.107
2024-04-30,313.016
2024-05-31,313.14
2024-06-30,313.131
2024-07-31,313.566
2024-08-31,314.131
2024-09-30,314.851
2024-10-31,315.564
2024-11-30,316.449
2024-12-31,317.603
2025-01-31,319.086
2025-02-28,319.775
2025-03-31,319.615
2025-04-30,320.321
2025-05-31,320.58
2025-06-30,321.5
2025-07-31,322.132
2025-08-31,323.364
