filingDate,symbol,daily_net_shares,daily_net_dollars,daily_buy_insider_count,net_shares_90d,net_dollars_90d,buy_insider_count_90d
2025-09-26,ACIW,164498.0,0.0,1,164498.0,0.0,1.0
2025-09-26,ACLX,-12396.0,-993155.124,0,-12396.0,-993155.124,0.0
2025-09-26,AERG,0.0,-15700.0,1,0.0,-15700.0,1.0
2025-09-26,AGX,-5000.0,-1335000.0,1,-5000.0,-1335000.0,1.0
2025-09-26,AMD,-2250.0,-371272.5,0,-2250.0,-371272.5,0.0
2025-09-26,AZO,0.0,-10074038.28,1,0.0,-10074038.28,1.0
2025-09-26,BJ,41392.0,0.0,1,41392.0,0.0,1.0
2025-09-26,BRK.A,-32.0,0.0,0,-32.0,0.0,0.0
2025-09-26,BX,-113000.0,-19853482.54,0,-113000.0,-19853482.54,0.0
2025-09-26,BYND,-492.0,-1407.12,0,-492.0,-1407.12,0.0
2025-09-26,CBSTF,4026320.0,0.0,5,4026320.0,0.0,5.0
2025-09-26,CIEN,-12847.0,-1185555.32,0,-12847.0,-1185555.32,0.0
2025-09-26,CNR,-5000.0,-411000.0,0,-5000.0,-411000.0,0.0
2025-09-26,COCO,-5400.0,-222681.0,0,-5400.0,-222681.0,0.0
2025-09-26,CPB,3545.0,0.0,2,3545.0,0.0,2.0
2025-09-26,CRGY,191257.0,0.0,2,191257.0,0.0,2.0
2025-09-26,CRM,0.0,-180096.86189999996,1,0.0,-180096.86189999996,1.0
2025-09-26,CXM,725709.0,0.0,1,725709.0,0.0,1.0
2025-09-26,DASH,-625.0,-373150.00000000006,1,-625.0,-373150.00000000006,1.0
2025-09-26,DOCS,0.0,-1499980.0,1,0.0,-1499980.0,1.0
2025-09-26,DXPE,-4477.0,-536165.52,0,-4477.0,-536165.52,0.0
2025-09-26,ENVX,-2217.0,-22857.27,0,-2217.0,-22857.27,0.0
2025-09-26,GAP,-121781.0,-2581757.2,0,-121781.0,-2581757.2,0.0
2025-09-26,GETY,-84720.0,-171981.6,0,-84720.0,-171981.6,0.0
2025-09-26,GM,-83030.0,-6678282.540000001,1,-83030.0,-6678282.540000001,1.0
2025-09-26,HCAT,467000.0,0.0,1,467000.0,0.0,1.0
2025-09-26,HIT,50000.0,0.0,1,50000.0,0.0,1.0
2025-09-26,HOG,2863.0,0.0,1,2863.0,0.0,1.0
2025-09-26,HTH,87808.4755,-693046.71,1,87808.4755,-693046.71,1.0
2025-09-26,KSS,1438.0,-556.885,8,1438.0,-556.885,8.0
2025-09-26,LIF,-4546.0,-461509.92,0,-4546.0,-461509.92,0.0
2025-09-26,LPSN,-662857.0,-419099.613,0,-662857.0,-419099.613,0.0
2025-09-26,MGTI,500000000.0,0.0,1,500000000.0,0.0,1.0
2025-09-26,MNMD,-44779.0,-437490.83,0,-44779.0,-437490.83,0.0
2025-09-26,MPW,287018.0,0.0,4,287018.0,0.0,4.0
2025-09-26,MSIF,3700.0,50135.0,1,3700.0,50135.0,1.0
2025-09-26,NEE,-846.0,-63365.4,0,-846.0,-63365.4,0.0
2025-09-26,NGS,-7915.0,-225586.2065,0,-7915.0,-225586.2065,0.0
2025-09-26,NLCP,-12633.0,-177114.66,0,-12633.0,-177114.66,0.0
2025-09-26,NOTE,-40.0,-687.6,0,-40.0,-687.6,0.0
2025-09-26,NRGV,-150000.0,-456225.0,0,-150000.0,-456225.0,0.0
2025-09-26,OSUR,6118.0,19999.742000000002,1,6118.0,19999.742000000002,1.0
2025-09-26,PAYS,250001.0,0.0,4,250001.0,0.0,4.0
2025-09-26,PCTY,-126.0,-20918.52,0,-126.0,-20918.52,0.0
2025-09-26,PGEN,11216.0,40015.520000000004,1,11216.0,40015.520000000004,1.0
2025-09-26,PHAT,41625.0,-564052.5,1,41625.0,-564052.5,1.0
2025-09-26,PSTG,-7014.0,-602151.8999999999,0,-7014.0,-602151.8999999999,0.0
2025-09-26,RGEN,-412.0,-50132.16,0,-412.0,-50132.16,0.0
2025-09-26,ROST,-39351.0,-5745246.0,0,-39351.0,-5745246.0,0.0
2025-09-26,RSSS,-3653.0,-13369.98,0,-3653.0,-13369.98,0.0
2025-09-26,RVMD,-1799.0,-79623.73999999999,0,-1799.0,-79623.73999999999,0.0
2025-09-26,RXRX,0.0,-476000.0,1,0.0,-476000.0,1.0
2025-09-26,RXST,23445.0,99998.01000000001,1,23445.0,99998.01000000001,1.0
2025-09-26,SATL,-22692.0,-86229.59999999999,0,-22692.0,-86229.59999999999,0.0
2025-09-26,SITM,-901.0,-287419.0,0,-901.0,-287419.0,0.0
2025-09-26,SNOW,-1658.0,-373472.79,0,-1658.0,-373472.79,0.0
2025-09-26,SUPN,1035.0,-38816.4,1,1035.0,-38816.4,1.0
2025-09-26,SVV,0.0,-504085.7188,2,0.0,-504085.7188,2.0
2025-09-26,TREE,2426.0,-110809.6,1,2426.0,-110809.6,1.0
2025-09-26,UAL,46476.0,-3057618.23,1,46476.0,-3057618.23,1.0
2025-09-26,URG,-213914.0,-374563.414,1,-213914.0,-374563.414,1.0
2025-09-26,VRT,16.5,0.0,9,16.5,0.0,9.0
2025-09-26,VST,5250.0,-7858002.02,1,5250.0,-7858002.02,1.0
2025-09-26,WLY,2758.0,110623.38,1,2758.0,110623.38,1.0
2025-09-26,WLYB,2758.0,110623.38,1,2758.0,110623.38,1.0
2025-09-26,WMT,-84594.0,-2003987.4912,0,-84594.0,-2003987.4912,0.0
2025-09-26,WOR,40590.0,529500.0,10,40590.0,529500.0,10.0
2025-09-26,WSM,-3500.0,-695765.0,0,-3500.0,-695765.0,0.0
2025-09-26,ZONE,242500.0,0.0,1,242500.0,0.0,1.0
